model,sequence_id,program_bits,complexity_level,h_model_bits_per_sym,h_ctw_D4,h_ctw_D8,h_ctw_D12,h_ctw_best,sg_D4,sg_D8,sg_D12,sg_primary,sg_min
Qwen/Qwen2.5-3B,L1_0014,24,1,1.089202,0.4268350994800748,0.42684123404911456,0.42684164272993924,0.42684164272993924,0.6623669005199252,0.6623607659508854,0.6623603572700607,0.6623607659508854,0.6623603572700607
Qwen/Qwen2.5-3B,L1_0015,24,1,0.924794,0.012610887246710646,0.012613254883847425,0.012613412765625078,0.012613412765625078,0.9121831127532893,0.9121807451161525,0.9121805872343749,0.9121807451161525,0.9121805872343749
Qwen/Qwen2.5-3B,L1_0016,24,1,0.945582,0.5575826073401025,0.5575928403183378,0.5575935653393563,0.5575935653393563,0.3879993926598976,0.38798915968166225,0.3879884346606437,0.38798915968166225,0.3879884346606437
Qwen/Qwen2.5-3B,L1_0017,24,1,1.156947,0.42342805125082994,0.42343411521451424,0.4234345190310208,0.4234345190310208,0.73351894874917,0.7335128847854857,0.7335124809689791,0.7335128847854857,0.7335124809689791
Qwen/Qwen2.5-3B,L1_0018,24,1,0.811665,0.04509386124200176,0.04509672824872107,0.04509692070306914,0.04509692070306914,0.7665711387579982,0.766568271751279,0.7665680792969308,0.766568271751279,0.7665680792969308
Qwen/Qwen2.5-3B,L1_0019,24,1,0.859091,0.014570730248586922,0.014573178745083263,0.014573342216376725,0.014573342216376725,0.8445202697514131,0.8445178212549168,0.8445176577836233,0.8445178212549168,0.8445176577836233
Qwen/Qwen2.5-3B,L1_0020,24,1,0.269932,0.02524888940829412,0.025251357714916333,0.025251522512305648,0.025251522512305648,0.2446831105917059,0.24468064228508368,0.24468047748769436,0.24468064228508368,0.24468047748769436
Qwen/Qwen2.5-3B,L1_0021,24,1,0.853445,0.015099592720175092,0.01510196479820838,0.015102122976868136,0.015102122976868136,0.8383454072798249,0.8383430352017917,0.8383428770231319,0.8383430352017917,0.8383428770231319
Qwen/Qwen2.5-3B,L1_0022,24,1,0.823907,0.01391059309621901,0.013913001229660833,0.01391316190810807,0.01391316190810807,0.8099964069037809,0.8099939987703391,0.8099938380918918,0.8099939987703391,0.8099938380918918
Qwen/Qwen2.5-3B,L1_0023,24,1,1.038628,0.692168156194714,0.6921826965512399,0.6921836647777091,0.6921836647777091,0.34645984380528616,0.34644530344876023,0.346444335222291,0.34644530344876023,0.346444335222291
Qwen/Qwen2.5-3B,L1_0024,24,1,1.535865,0.7219631411348683,0.7219839900225647,0.7219852408257172,0.7219852408257172,0.8139018588651318,0.8138810099774353,0.8138797591742828,0.8138810099774353,0.8138797591742828
Qwen/Qwen2.5-3B,L1_0025,24,1,1.413475,0.7225857673077176,0.7226043321970139,0.7226057556068767,0.7226057556068767,0.6908892326922824,0.6908706678029861,0.6908692443931234,0.6908706678029861,0.6908692443931234
Qwen/Qwen2.5-3B,L1_0026,24,1,0.794684,0.018999956527586407,0.01900241322631889,0.01900257724668017,0.01900257724668017,0.7756840434724135,0.775681586773681,0.7756814227533197,0.775681586773681,0.7756814227533197
Qwen/Qwen2.5-3B,L1_0027,24,1,0.981888,0.5575826073401025,0.5575928403183378,0.5575935653393563,0.5575935653393563,0.42430539265989753,0.4242951596816622,0.42429443466064365,0.4242951596816622,0.42429443466064365
Qwen/Qwen2.5-3B,L1_0028,24,1,1.029513,0.5489828934711524,0.5418864976899483,0.5414616320639323,0.5489828934711524,0.48053010652884753,0.48762650231005156,0.4880513679360676,0.48762650231005156,0.48053010652884753
Qwen/Qwen2.5-3B,L1_0029,24,1,1.127459,0.562135436404174,0.5621465645398878,0.5621472008427368,0.5621472008427368,0.565323563595826,0.5653124354601122,0.5653117991572632,0.5653124354601122,0.5653117991572632
Qwen/Qwen2.5-3B,L1_0030,24,1,1.076337,0.6445910586389432,0.6446098426301365,0.6446109134989658,0.6446109134989658,0.43174594136105693,0.43172715736986356,0.4317260865010343,0.43172715736986356,0.4317260865010343
Qwen/Qwen2.5-3B,L1_0031,24,1,1.119935,0.8042460943907156,0.8042745553003747,0.8042763239381885,0.8042763239381885,0.3156889056092843,0.3156604446996252,0.3156586760618114,0.3156604446996252,0.3156586760618114
Qwen/Qwen2.5-3B,L1_0032,24,1,0.979819,0.5616420249846749,0.5616530879755832,0.5616536914561304,0.5616536914561304,0.41817697501532514,0.4181659120244168,0.4181653085438696,0.4181659120244168,0.4181653085438696
Qwen/Qwen2.5-3B,L1_0033,24,1,0.367701,0.012610887246710646,0.012613254883847425,0.012613412765625078,0.012613412765625078,0.35509011275328933,0.3550877451161526,0.35508758723437495,0.3550877451161526,0.35508758723437495
Qwen/Qwen2.5-3B,L1_0034,24,1,1.027701,0.7646577970705914,0.7522836366688146,0.7522851324179518,0.7646577970705914,0.2630432029294085,0.2754173633311854,0.27541586758204817,0.2754173633311854,0.2630432029294085
Qwen/Qwen2.5-3B,L1_0035,24,1,0.922182,0.5891987778221435,0.587182057071615,0.587183491517356,0.5891987778221435,0.3329832221778565,0.334999942928385,0.3349985084826439,0.334999942928385,0.3329832221778565
Qwen/Qwen2.5-3B,L1_0036,24,1,0.968503,0.7219631411348683,0.7219839900225647,0.7219852408257172,0.7219852408257172,0.24653985886513174,0.24651900997743526,0.24651775917428276,0.24651900997743526,0.24651775917428276
Qwen/Qwen2.5-3B,L1_0037,24,1,0.943754,0.5661037873655765,0.5661130509143891,0.5661137351306741,0.5661137351306741,0.37765021263442344,0.37764094908561086,0.3776402648693259,0.37764094908561086,0.3776402648693259
Qwen/Qwen2.5-3B,L1_0038,24,1,0.908169,0.8296998793397509,0.830254396750739,0.8299197351620048,0.830254396750739,0.07846912066024914,0.07791460324926103,0.07824926483799521,0.07791460324926103,0.07791460324926103
Qwen/Qwen2.5-3B,L1_0039,24,1,0.959529,0.5908971279672591,0.5909088823300953,0.5909096649104079,0.5909096649104079,0.36863187203274084,0.36862011766990466,0.3686193350895921,0.36862011766990466,0.3686193350895921
Qwen/Qwen2.5-3B,L1_0040,24,1,1.05894,0.5930278619289706,0.5930410751060122,0.5930419549285907,0.5930419549285907,0.4659121380710294,0.46589892489398776,0.4658980450714093,0.46589892489398776,0.4658980450714093
Qwen/Qwen2.5-3B,L1_0041,24,1,1.042425,0.7223003980276991,0.7223176343431643,0.7223187439999428,0.7223187439999428,0.32012460197230086,0.3201073656568356,0.32010625600005715,0.3201073656568356,0.32010625600005715
Qwen/Qwen2.5-3B,L1_0042,24,1,0.257517,0.015099592720175092,0.01510196479820838,0.015102122976868136,0.015102122976868136,0.24241740727982491,0.2424150352017916,0.24241487702313186,0.2424150352017916,0.24241487702313186
Qwen/Qwen2.5-3B,L1_0043,24,1,1.024545,0.6901517566312151,0.6901662536736936,0.6901672188591885,0.6901672188591885,0.33439324336878495,0.3343787463263065,0.3343777811408115,0.3343787463263065,0.3343777811408115
Qwen/Qwen2.5-3B,L1_0044,24,1,1.004847,0.6556663183040589,0.6534102145655613,0.6534121020963872,0.6556663183040589,0.3491806816959412,0.3514367854344388,0.3514348979036128,0.3514367854344388,0.3491806816959412
Qwen/Qwen2.5-3B,L1_0045,24,1,0.998458,0.6361194389642142,0.6359540047686544,0.6357885165881005,0.6361194389642142,0.36233856103578577,0.3625039952313456,0.3626694834118994,0.3625039952313456,0.36233856103578577
Qwen/Qwen2.5-3B,L1_0046,24,1,0.29104,0.017685669410862474,0.01768808441030541,0.017688245548064793,0.017688245548064793,0.27335433058913755,0.2733519155896946,0.2733517544519352,0.2733519155896946,0.2733517544519352
Qwen/Qwen2.5-3B,L1_0047,24,1,0.865854,0.599167363572666,0.5983784127718171,0.5983792299708122,0.599167363572666,0.26668663642733403,0.2674755872281829,0.26747477002918785,0.2674755872281829,0.26668663642733403
Qwen/Qwen2.5-3B,L1_0048,24,1,1.103158,0.6789624335973332,0.6731183874761345,0.6731208059048815,0.6789624335973332,0.42419556640266687,0.4300396125238656,0.43003719409511854,0.4300396125238656,0.42419556640266687
Qwen/Qwen2.5-3B,L1_0049,24,1,1.043645,0.7743013663226266,0.7618498245077767,0.7618520709487381,0.7743013663226266,0.26934363367737335,0.2817951754922232,0.28179292905126185,0.2817951754922232,0.26934363367737335
Qwen/Qwen2.5-3B,L1_0050,24,1,1.135549,0.7587308170070608,0.7580478957043583,0.7580495182811969,0.7587308170070608,0.3768181829929391,0.37750110429564165,0.377499481718803,0.37750110429564165,0.3768181829929391
Qwen/Qwen2.5-3B,L1_0051,24,1,1.149546,0.8065047663032039,0.8065315090634704,0.8065332218760141,0.8065332218760141,0.34304123369679607,0.3430144909365296,0.3430127781239859,0.3430144909365296,0.3430127781239859
Qwen/Qwen2.5-3B,L1_0052,24,1,0.845159,0.5916979738484606,0.591712823713522,0.591713812385367,0.591713812385367,0.2534610261515394,0.25344617628647803,0.25344518761463297,0.25344617628647803,0.25344518761463297
Qwen/Qwen2.5-3B,L1_0053,24,1,1.063278,0.5604798129137563,0.5604908285828074,0.5604914429889144,0.5604914429889144,0.5027981870862437,0.5027871714171925,0.5027865570110855,0.5027871714171925,0.5027865570110855
Qwen/Qwen2.5-3B,L1_0054,24,1,1.223197,0.43630122985140857,0.4363077914312539,0.43630822960862303,0.43630822960862303,0.7868957701485915,0.7868892085687462,0.7868887703913771,0.7868892085687462,0.7868887703913771
Qwen/Qwen2.5-3B,L1_0055,24,1,1.059989,0.4268350994800748,0.42684123404911456,0.42684164272993924,0.42684164272993924,0.6331539005199253,0.6331477659508855,0.6331473572700608,0.6331477659508855,0.6331473572700608
Qwen/Qwen2.5-3B,L1_0056,24,1,0.799094,0.5920570196317443,0.5920743507547076,0.5920755046366603,0.5920755046366603,0.20703698036825569,0.20701964924529237,0.20701849536333972,0.20701964924529237,0.20701849536333972
Qwen/Qwen2.5-3B,L1_0057,24,1,1.355092,0.37784808789327806,0.3780992181216052,0.37812517026055675,0.37812517026055675,0.9772439121067219,0.9769927818783948,0.9769668297394432,0.9769927818783948,0.9769668297394432
Qwen/Qwen2.5-3B,L1_0058,24,1,1.054102,0.5916979738484606,0.591712823713522,0.591713812385367,0.591713812385367,0.4624040261515395,0.46238917628647813,0.4623881876146331,0.46238917628647813,0.4623881876146331
Qwen/Qwen2.5-3B,L1_0059,24,1,1.057432,0.6901576102707895,0.6901721160692311,0.6901730818391093,0.6901730818391093,0.36727438972921045,0.3672598839307688,0.3672589181608906,0.3672598839307688,0.3672589181608906
Qwen/Qwen2.5-3B,L1_0060,24,1,0.981767,0.6649224252752747,0.6625866151769076,0.6625882016649527,0.6649224252752747,0.31684457472472527,0.3191803848230923,0.31917879833504725,0.3191803848230923,0.31684457472472527
Qwen/Qwen2.5-3B,L1_0061,24,1,0.846857,0.028113562370425633,0.02794849426685676,0.027948674264536736,0.028113562370425633,0.8187434376295744,0.8189085057331432,0.8189083257354632,0.8189085057331432,0.8187434376295744
Qwen/Qwen2.5-3B,L1_0062,24,1,1.151943,0.44313056653316435,0.44313736181035496,0.4431378161743359,0.4431378161743359,0.7088124334668355,0.708805638189645,0.708805183825664,0.708805638189645,0.708805183825664
Qwen/Qwen2.5-3B,L1_0063,24,1,1.06007,0.6448035643212972,0.644822461165197,0.6448235312039016,0.6448235312039016,0.4152664356787029,0.41524753883480303,0.4152464687960985,0.41524753883480303,0.4152464687960985
Qwen/Qwen2.5-3B,L1_0064,24,1,1.011736,0.6626194283027199,0.6561942271905472,0.6561956170249407,0.6626194283027199,0.34911657169728005,0.35554177280945276,0.3555403829750593,0.35554177280945276,0.34911657169728005
Qwen/Qwen2.5-3B,L1_0065,24,1,0.891658,0.015238725805331987,0.014908467455792461,0.014908633754194869,0.015238725805331987,0.8764192741946679,0.8767495325442075,0.8767493662458051,0.8767495325442075,0.8764192741946679
Qwen/Qwen2.5-3B,L1_0066,24,1,1.052549,0.6443285786964589,0.6443455645047795,0.6443468125278053,0.6443468125278053,0.4082204213035411,0.4082034354952204,0.4082021874721946,0.4082034354952204,0.4082021874721946
Qwen/Qwen2.5-3B,L1_0067,24,1,0.237118,0.02016478917779271,0.020167208691376406,0.020167370131106116,0.020167370131106116,0.21695321082220728,0.2169507913086236,0.21695062986889388,0.2169507913086236,0.21695062986889388
Qwen/Qwen2.5-3B,L1_0068,24,1,0.941546,0.39613260633928943,0.39635581119107527,0.3963689770339815,0.3963689770339815,0.5454133936607106,0.5451901888089248,0.5451770229660184,0.5451901888089248,0.5451770229660184
Qwen/Qwen2.5-3B,L1_0069,24,1,0.313545,0.02027674897298586,0.02027920804312403,0.020279372222234523,0.020279372222234523,0.29326825102701415,0.29326579195687597,0.2932656277777655,0.29326579195687597,0.2932656277777655
Qwen/Qwen2.5-3B,L1_0070,24,1,1.195899,0.5859905535917557,0.5860108820291188,0.5860120193087732,0.5860120193087732,0.6099084464082444,0.6098881179708813,0.6098869806912268,0.6098881179708813,0.6098869806912268
Qwen/Qwen2.5-3B,L1_0071,24,1,1.009569,0.645094510377791,0.6451108184292597,0.6451119461557211,0.6451119461557211,0.36447448962220896,0.3644581815707403,0.36445705384427884,0.3644581815707403,0.36445705384427884
Qwen/Qwen2.5-3B,L1_0072,24,1,0.999416,0.5909351057220732,0.5909482500600642,0.5909491251808352,0.5909491251808352,0.4084808942779268,0.40846774993993573,0.40846687481916477,0.40846774993993573,0.40846687481916477
Qwen/Qwen2.5-3B,L1_0073,24,1,1.166084,0.7671988418014856,0.7672233686567277,0.7672247391587159,0.7672247391587159,0.39888515819851433,0.3988606313432722,0.398859260841284,0.3988606313432722,0.398859260841284
Qwen/Qwen2.5-3B,L1_0074,24,1,1.1741,0.5867742843684841,0.5863905269864861,0.5863922265963787,0.5867742843684841,0.5873257156315158,0.5877094730135138,0.5877077734036212,0.5877094730135138,0.5873257156315158
Qwen/Qwen2.5-3B,L2_0000,40,2,0.736991,0.5858172685875086,0.5858343917957356,0.5858354009785347,0.5858354009785347,0.15117373141249135,0.15115660820426435,0.15115559902146525,0.15115660820426435,0.15115559902146525
Qwen/Qwen2.5-3B,L2_0001,40,2,1.46865,0.6963793300542532,0.681480909492496,0.6814827724666482,0.6963793300542532,0.7722706699457468,0.787169090507504,0.7871672275333518,0.787169090507504,0.7722706699457468
Qwen/Qwen2.5-3B,L2_0002,40,2,1.000518,0.7135871341649848,0.7118441072471208,0.7118454340112876,0.7135871341649848,0.28693086583501526,0.28867389275287925,0.2886725659887124,0.28867389275287925,0.28693086583501526
Qwen/Qwen2.5-3B,L2_0003,40,2,0.847515,0.5945088644386783,0.5945237581940827,0.5945247499146329,0.5945247499146329,0.2530061355613217,0.25299124180591737,0.25299025008536713,0.25299124180591737,0.25299025008536713
Qwen/Qwen2.5-3B,L2_0004,40,2,1.07411,0.6572548946966691,0.6510327589770961,0.6510345667952313,0.6572548946966691,0.4168551053033308,0.4230772410229038,0.4230754332047686,0.4230772410229038,0.4168551053033308
Qwen/Qwen2.5-3B,L2_0005,40,2,0.855492,0.017685669410862474,0.01768808441030541,0.017688245548064793,0.017688245548064793,0.8378063305891376,0.8378039155896946,0.8378037544519352,0.8378039155896946,0.8378037544519352
Qwen/Qwen2.5-3B,L2_0006,40,2,0.979618,0.563179060396563,0.5631884706588778,0.5631891763787329,0.5631891763787329,0.41643893960343703,0.4164295293411222,0.4164288236212671,0.4164295293411222,0.4164288236212671
Qwen/Qwen2.5-3B,L2_0007,40,2,1.018343,0.6453424347711288,0.6392570243409356,0.639258529356598,0.6453424347711288,0.37300056522887115,0.37908597565906443,0.379084470643402,0.37908597565906443,0.37300056522887115
Qwen/Qwen2.5-3B,L2_0008,40,2,1.002061,0.6000900886701157,0.6001028455219127,0.6001036974528988,0.6001036974528988,0.4019709113298844,0.40195815447808736,0.40195730254710127,0.40195815447808736,0.40195730254710127
Qwen/Qwen2.5-3B,L2_0009,40,2,1.13476,0.644508947091823,0.6384134721366164,0.6384150541114927,0.644508947091823,0.49025105290817694,0.4963465278633836,0.4963449458885073,0.4963465278633836,0.49025105290817694
Qwen/Qwen2.5-3B,L2_0010,40,2,1.024218,0.5574132606847518,0.5574234889397737,0.5574242263287484,0.5574242263287484,0.46680473931524824,0.4667945110602264,0.46679377367125163,0.4667945110602264,0.46679377367125163
Qwen/Qwen2.5-3B,L2_0011,40,2,1.183267,0.5949868879369302,0.5945997957750386,0.594600820969651,0.5949868879369302,0.5882801120630698,0.5886672042249614,0.5886661790303491,0.5886672042249614,0.5882801120630698
Qwen/Qwen2.5-3B,L2_0012,40,2,0.841976,0.6484837429277505,0.6421892563904806,0.6421906305085437,0.6484837429277505,0.19349225707224949,0.1997867436095193,0.1997853694914562,0.1997867436095193,0.19349225707224949
Qwen/Qwen2.5-3B,L2_0013,40,2,1.188088,0.5714923561474928,0.5715021348331494,0.5715028545599116,0.5715028545599116,0.6165956438525072,0.6165858651668507,0.6165851454400885,0.6165858651668507,0.6165851454400885
Qwen/Qwen2.5-3B,L2_0014,40,2,0.812544,0.02027674897298586,0.02027920804312403,0.020279372222234523,0.020279372222234523,0.7922672510270142,0.792264791956876,0.7922646277777655,0.792264791956876,0.7922646277777655
Qwen/Qwen2.5-3B,L2_0015,40,2,1.11025,0.8533562095703772,0.8474810925533067,0.8474845297946095,0.8533562095703772,0.2568937904296228,0.26276890744669323,0.26276547020539043,0.26276890744669323,0.2568937904296228
Qwen/Qwen2.5-3B,L2_0016,40,2,1.149856,0.6901576102707895,0.6901721160692311,0.6901730818391093,0.6901730818391093,0.4596983897292105,0.45968388393076887,0.4596829181608907,0.45968388393076887,0.4596829181608907
Qwen/Qwen2.5-3B,L2_0017,40,2,1.073191,0.4389200066051746,0.4384860333388954,0.4384864892735284,0.4389200066051746,0.6342709933948254,0.6347049666611047,0.6347045107264716,0.6347049666611047,0.6342709933948254
Qwen/Qwen2.5-3B,L2_0018,40,2,1.102445,0.5662011614838829,0.5662116026759773,0.5662123753943026,0.5662123753943026,0.536243838516117,0.5362333973240226,0.5362326246056973,0.5362333973240226,0.5362326246056973
Qwen/Qwen2.5-3B,L2_0019,40,2,0.768834,0.02160348085286405,0.021605982783395223,0.02160614992836287,0.02160614992836287,0.747230519147136,0.7472280172166048,0.7472278500716372,0.7472280172166048,0.7472278500716372
Qwen/Qwen2.5-3B,L2_0020,40,2,0.749863,0.0227797168953246,0.02278218061344422,0.02278234510369005,0.02278234510369005,0.7270832831046753,0.7270808193865558,0.7270806548963099,0.7270808193865558,0.7270806548963099
Qwen/Qwen2.5-3B,L2_0021,40,2,0.844029,0.5909351057220732,0.5909482500600642,0.5909491251808352,0.5909491251808352,0.25309389427792683,0.2530807499399358,0.25307987481916483,0.2530807499399358,0.25307987481916483
Qwen/Qwen2.5-3B,L2_0022,40,2,1.081794,0.556165704478446,0.5561748855625002,0.5561755557468671,0.5561755557468671,0.5256282955215539,0.5256191144374998,0.5256184442531329,0.5256191144374998,0.5256184442531329
Qwen/Qwen2.5-3B,L2_0023,40,2,0.978131,0.7216967063575594,0.7217134206608651,0.7217145973820375,0.7217145973820375,0.2564342936424405,0.2564175793391349,0.2564164026179625,0.2564175793391349,0.2564164026179625
Qwen/Qwen2.5-3B,L2_0024,40,2,0.791986,0.03325862621596675,0.03326127909117213,0.03326145666947867,0.03326145666947867,0.7587273737840332,0.7587247209088278,0.7587245433305213,0.7587247209088278,0.7587245433305213
Qwen/Qwen2.5-3B,L2_0025,40,2,1.348991,0.7308383518427982,0.7306213703941817,0.7306226825969436,0.7308383518427982,0.6181526481572018,0.6183696296058183,0.6183683174030564,0.6183696296058183,0.6181526481572018
Qwen/Qwen2.5-3B,L2_0026,40,2,1.012776,0.648757193301699,0.6481844478485534,0.6481857784218016,0.648757193301699,0.3640188066983009,0.36459155215144645,0.3645902215781983,0.36459155215144645,0.3640188066983009
Qwen/Qwen2.5-3B,L2_0027,40,2,1.283667,0.5920570196317443,0.5920743507547076,0.5920755046366603,0.5920755046366603,0.6916099803682556,0.6915926492452923,0.6915914953633396,0.6915926492452923,0.6915914953633396
Qwen/Qwen2.5-3B,L2_0028,40,2,1.010553,0.7643541995770156,0.7643772471566436,0.7643787434721909,0.7643787434721909,0.24619880042298448,0.24617575284335647,0.2461742565278091,0.24617575284335647,0.2461742565278091
Qwen/Qwen2.5-3B,L2_0029,40,2,0.991166,0.5638962019066408,0.5639069706434237,0.5639077412415692,0.5639077412415692,0.4272697980933592,0.42725902935657634,0.4272582587584308,0.42725902935657634,0.4272582587584308
Qwen/Qwen2.5-3B,L2_0030,40,2,0.927345,0.7769620438985971,0.772259844743582,0.772232810858172,0.7769620438985971,0.15038295610140284,0.15508515525641797,0.155112189141828,0.15508515525641797,0.15038295610140284
Qwen/Qwen2.5-3B,L2_0031,40,2,1.141853,0.8257134012434894,0.8157931016436573,0.8157958795973856,0.8257134012434894,0.31613959875651065,0.32605989835634275,0.32605712040261436,0.32605989835634275,0.31613959875651065
Qwen/Qwen2.5-3B,L2_0032,40,2,1.035207,0.5731457887939115,0.5527235009026674,0.5527258691595381,0.5731457887939115,0.46206121120608845,0.48248349909733257,0.48248113084046185,0.48248349909733257,0.46206121120608845
Qwen/Qwen2.5-3B,L2_0033,40,2,1.066254,0.4319788313290278,0.43198518007025105,0.4319856035167264,0.4319856035167264,0.6342751686709722,0.634268819929749,0.6342683964832736,0.634268819929749,0.6342683964832736
Qwen/Qwen2.5-3B,L2_0034,40,2,1.055436,0.5374972575745156,0.5252981769695793,0.5253005544287481,0.5374972575745156,0.5179387424254844,0.5301378230304208,0.5301354455712519,0.5301378230304208,0.5179387424254844
Qwen/Qwen2.5-3B,L2_0035,40,2,1.161758,0.4319788313290278,0.43198518007025105,0.4319856035167264,0.4319856035167264,0.7297791686709723,0.7297728199297491,0.7297723964832736,0.7297728199297491,0.7297723964832736
Qwen/Qwen2.5-3B,L2_0036,40,2,0.837152,0.0227797168953246,0.02278218061344422,0.02278234510369005,0.02278234510369005,0.8143722831046754,0.8143698193865558,0.81436965489631,0.8143698193865558,0.81436965489631
Qwen/Qwen2.5-3B,L2_0037,40,2,1.100222,0.7255656364052728,0.7250125107786374,0.7250144145956909,0.7255656364052728,0.3746563635947272,0.37520948922136266,0.3752075854043091,0.37520948922136266,0.3746563635947272
Qwen/Qwen2.5-3B,L2_0038,40,2,0.887485,0.6713760928180966,0.665493780922288,0.665495154771596,0.6713760928180966,0.21610890718190334,0.22199121907771202,0.22198984522840393,0.22199121907771202,0.21610890718190334
Qwen/Qwen2.5-3B,L2_0039,40,2,1.182666,0.5652250647109868,0.5647895247473196,0.5647901596999901,0.5652250647109868,0.6174409352890132,0.6178764752526804,0.6178758403000099,0.6178764752526804,0.6174409352890132
Qwen/Qwen2.5-3B,L2_0040,40,2,1.137545,0.8187236322840407,0.8088821023695719,0.8088841708062934,0.8187236322840407,0.31882136771595937,0.3286628976304281,0.32866082919370665,0.3286628976304281,0.31882136771595937
Qwen/Qwen2.5-3B,L2_0041,40,2,1.156079,0.7050375990559045,0.705059984246889,0.7050615511054588,0.7050615511054588,0.4510414009440956,0.4510190157531111,0.4510174488945413,0.4510190157531111,0.4510174488945413
Qwen/Qwen2.5-3B,L2_0042,40,2,1.048778,0.6547298769236681,0.6548963298910704,0.65502892141601,0.65502892141601,0.39404812307633186,0.3938816701089296,0.39374907858399,0.3938816701089296,0.39374907858399
Qwen/Qwen2.5-3B,L2_0043,40,2,0.263879,0.030352047432585853,0.03035456594151783,0.03035473419698234,0.03035473419698234,0.23352695256741413,0.23352443405848214,0.23352426580301763,0.23352443405848214,0.23352426580301763
Qwen/Qwen2.5-3B,L2_0044,40,2,0.989689,0.5940292668248963,0.5940412292304333,0.5940420261919875,0.5940420261919875,0.3956597331751037,0.3956477707695667,0.3956469738080125,0.3956477707695667,0.3956469738080125
Qwen/Qwen2.5-3B,L2_0045,40,2,1.168999,0.4371375766067789,0.4371441665617249,0.4371446066356493,0.4371446066356493,0.731861423393221,0.7318548334382751,0.7318543933643507,0.7318548334382751,0.7318543933643507
Qwen/Qwen2.5-3B,L2_0046,40,2,1.058465,0.7631505911089924,0.7631729978531689,0.7631744664774256,0.7631744664774256,0.2953144088910076,0.29529200214683105,0.2952905335225744,0.29529200214683105,0.2952905335225744
Qwen/Qwen2.5-3B,L2_0047,40,2,1.247617,0.8097635021399067,0.8097943845018801,0.8097961636767183,0.8097961636767183,0.4378534978600933,0.43782261549811985,0.4378208363232817,0.43782261549811985,0.4378208363232817
