sequence_id,complexity_level,n_states,program_bits,model,context_len,predict_len,h_model_bits_per_sym,h_gzip_bits_per_sym,h_gzip_is_negative,el_gzip,mean_invalid_mass,mean_valid_binary_mass
L1_0039,1,3,24,Qwen/Qwen2.5-3B,100,100,0.959529,0.0,False,0.959529,0.342699,0.657301
L1_0040,1,3,24,Qwen/Qwen2.5-3B,100,100,1.05894,0.0,False,1.05894,0.341566,0.658434
L1_0041,1,3,24,Qwen/Qwen2.5-3B,100,100,1.042425,0.0,False,1.042425,0.339679,0.660321
L1_0042,1,3,24,Qwen/Qwen2.5-3B,100,100,0.257517,0.0,False,0.257517,0.347374,0.652626
L1_0043,1,3,24,Qwen/Qwen2.5-3B,100,100,1.024545,0.0,False,1.024545,0.342848,0.657152
L1_0044,1,3,24,Qwen/Qwen2.5-3B,100,100,1.004847,0.08,False,0.924847,0.338729,0.661271
L1_0045,1,3,24,Qwen/Qwen2.5-3B,100,100,0.998458,0.0,False,0.998458,0.343979,0.656021
L1_0046,1,3,24,Qwen/Qwen2.5-3B,100,100,0.29104,0.0,False,0.29104,0.345264,0.654736
L1_0047,1,3,24,Qwen/Qwen2.5-3B,100,100,0.865854,0.0,False,0.865854,0.342311,0.657689
L1_0048,1,3,24,Qwen/Qwen2.5-3B,100,100,1.103158,0.0,False,1.103158,0.339772,0.660228
L1_0049,1,3,24,Qwen/Qwen2.5-3B,100,100,1.043645,0.0,False,1.043645,0.340622,0.659378
L1_0050,1,3,24,Qwen/Qwen2.5-3B,100,100,1.135549,0.08,False,1.055549,0.342031,0.657969
L1_0051,1,3,24,Qwen/Qwen2.5-3B,100,100,1.149546,0.08,False,1.069546,0.34101,0.65899
L1_0052,1,3,24,Qwen/Qwen2.5-3B,100,100,0.845159,0.0,False,0.845159,0.34204,0.65796
L1_0053,1,3,24,Qwen/Qwen2.5-3B,100,100,1.063278,0.0,False,1.063278,0.341694,0.658306
L1_0054,1,3,24,Qwen/Qwen2.5-3B,100,100,1.223197,0.0,False,1.223197,0.34542,0.65458
L1_0055,1,3,24,Qwen/Qwen2.5-3B,100,100,1.059989,0.0,False,1.059989,0.346458,0.653542
L1_0056,1,3,24,Qwen/Qwen2.5-3B,100,100,0.799094,0.0,False,0.799094,0.342023,0.657977
L1_0057,1,3,24,Qwen/Qwen2.5-3B,100,100,1.355092,0.4,False,0.955092,0.341137,0.658863
L1_0058,1,3,24,Qwen/Qwen2.5-3B,100,100,1.054102,0.0,False,1.054102,0.341023,0.658977
L1_0059,1,3,24,Qwen/Qwen2.5-3B,100,100,1.057432,0.0,False,1.057432,0.341485,0.658515
L1_0060,1,3,24,Qwen/Qwen2.5-3B,100,100,0.981767,0.0,False,0.981767,0.342546,0.657454
L1_0061,1,3,24,Qwen/Qwen2.5-3B,100,100,0.846857,0.0,False,0.846857,0.345059,0.654941
L1_0062,1,3,24,Qwen/Qwen2.5-3B,100,100,1.151943,0.0,False,1.151943,0.345351,0.654649
L1_0063,1,3,24,Qwen/Qwen2.5-3B,100,100,1.06007,0.08,False,0.98007,0.339807,0.660193
L1_0064,1,3,24,Qwen/Qwen2.5-3B,100,100,1.011736,0.0,False,1.011736,0.342122,0.657878
L1_0065,1,3,24,Qwen/Qwen2.5-3B,100,100,0.891658,0.0,False,0.891658,0.345999,0.654001
L1_0066,1,3,24,Qwen/Qwen2.5-3B,100,100,1.052549,0.0,False,1.052549,0.339499,0.660501
L1_0067,1,3,24,Qwen/Qwen2.5-3B,100,100,0.237118,0.0,False,0.237118,0.346998,0.653002
L1_0068,1,3,24,Qwen/Qwen2.5-3B,100,100,0.941546,0.96,False,-0.018454,0.339323,0.660677
L1_0069,1,3,24,Qwen/Qwen2.5-3B,100,100,0.313545,0.0,False,0.313545,0.344849,0.655151
L1_0070,1,3,24,Qwen/Qwen2.5-3B,100,100,1.195899,0.08,False,1.115899,0.341177,0.658823
L1_0071,1,3,24,Qwen/Qwen2.5-3B,100,100,1.009569,0.08,False,0.929569,0.339662,0.660338
L1_0072,1,3,24,Qwen/Qwen2.5-3B,100,100,0.999416,0.0,False,0.999416,0.343009,0.656991
L1_0073,1,3,24,Qwen/Qwen2.5-3B,100,100,1.166084,0.0,False,1.166084,0.340913,0.659087
L1_0074,1,3,24,Qwen/Qwen2.5-3B,100,100,1.1741,0.0,False,1.1741,0.341259,0.658741
L2_0000,2,4,40,Qwen/Qwen2.5-3B,100,100,0.736991,0.08,False,0.656991,0.340609,0.659391
L2_0001,2,4,40,Qwen/Qwen2.5-3B,100,100,1.46865,0.0,False,1.46865,0.341859,0.658141
L2_0002,2,4,40,Qwen/Qwen2.5-3B,100,100,1.000518,0.0,False,1.000518,0.342423,0.657577
L2_0003,2,4,40,Qwen/Qwen2.5-3B,100,100,0.847515,0.0,False,0.847515,0.341624,0.658376
L2_0004,2,4,40,Qwen/Qwen2.5-3B,100,100,1.07411,0.08,False,0.99411,0.342555,0.657445
L2_0005,2,4,40,Qwen/Qwen2.5-3B,100,100,0.855492,0.0,False,0.855492,0.347334,0.652666
L2_0006,2,4,40,Qwen/Qwen2.5-3B,100,100,0.979618,0.0,False,0.979618,0.34427,0.65573
L2_0007,2,4,40,Qwen/Qwen2.5-3B,100,100,1.018343,0.08,False,0.938343,0.340147,0.659853
L2_0008,2,4,40,Qwen/Qwen2.5-3B,100,100,1.002061,0.0,False,1.002061,0.34296,0.65704
L2_0009,2,4,40,Qwen/Qwen2.5-3B,100,100,1.13476,0.0,False,1.13476,0.340086,0.659914
L2_0010,2,4,40,Qwen/Qwen2.5-3B,100,100,1.024218,0.0,False,1.024218,0.345545,0.654455
L2_0011,2,4,40,Qwen/Qwen2.5-3B,100,100,1.183267,0.0,False,1.183267,0.343148,0.656852
L2_0012,2,4,40,Qwen/Qwen2.5-3B,100,100,0.841976,0.08,False,0.761976,0.340819,0.659181
L2_0013,2,4,40,Qwen/Qwen2.5-3B,100,100,1.188088,0.0,False,1.188088,0.345586,0.654414
L2_0014,2,4,40,Qwen/Qwen2.5-3B,100,100,0.812544,0.0,False,0.812544,0.348264,0.651736
L2_0015,2,4,40,Qwen/Qwen2.5-3B,100,100,1.11025,0.08,False,1.03025,0.340683,0.659317
L2_0016,2,4,40,Qwen/Qwen2.5-3B,100,100,1.149856,0.0,False,1.149856,0.342796,0.657204
L2_0017,2,4,40,Qwen/Qwen2.5-3B,100,100,1.073191,0.0,False,1.073191,0.345994,0.654006
L2_0018,2,4,40,Qwen/Qwen2.5-3B,100,100,1.102445,0.0,False,1.102445,0.345317,0.654683
L2_0019,2,4,40,Qwen/Qwen2.5-3B,100,100,0.768834,0.0,False,0.768834,0.348511,0.651489
L2_0020,2,4,40,Qwen/Qwen2.5-3B,100,100,0.749863,0.0,False,0.749863,0.348127,0.651873
L2_0021,2,4,40,Qwen/Qwen2.5-3B,100,100,0.844029,0.0,False,0.844029,0.341401,0.658599
L2_0022,2,4,40,Qwen/Qwen2.5-3B,100,100,1.081794,0.0,False,1.081794,0.341792,0.658208
L2_0023,2,4,40,Qwen/Qwen2.5-3B,100,100,0.978131,0.0,False,0.978131,0.341466,0.658534
L2_0024,2,4,40,Qwen/Qwen2.5-3B,100,100,0.791986,0.08,False,0.711986,0.351088,0.648912
L2_0025,2,4,40,Qwen/Qwen2.5-3B,100,100,1.348991,0.08,False,1.268991,0.341531,0.658469
L2_0026,2,4,40,Qwen/Qwen2.5-3B,100,100,1.012776,0.08,False,0.932776,0.343617,0.656383
L2_0027,2,4,40,Qwen/Qwen2.5-3B,100,100,1.283667,0.0,False,1.283667,0.3416,0.6584
L2_0028,2,4,40,Qwen/Qwen2.5-3B,100,100,1.010553,0.0,False,1.010553,0.339629,0.660371
L2_0029,2,4,40,Qwen/Qwen2.5-3B,100,100,0.991166,0.0,False,0.991166,0.342907,0.657093
L2_0030,2,4,40,Qwen/Qwen2.5-3B,100,100,0.927345,0.4,False,0.527345,0.339313,0.660687
L2_0031,2,4,40,Qwen/Qwen2.5-3B,100,100,1.141853,0.0,False,1.141853,0.341007,0.658993
L2_0032,2,4,40,Qwen/Qwen2.5-3B,100,100,1.035207,0.08,False,0.955207,0.342654,0.657346
L2_0033,2,4,40,Qwen/Qwen2.5-3B,100,100,1.066254,0.0,False,1.066254,0.345566,0.654434
L2_0034,2,4,40,Qwen/Qwen2.5-3B,100,100,1.055436,0.0,False,1.055436,0.342977,0.657023
L2_0035,2,4,40,Qwen/Qwen2.5-3B,100,100,1.161758,0.0,False,1.161758,0.345368,0.654632
L2_0036,2,4,40,Qwen/Qwen2.5-3B,100,100,0.837152,0.0,False,0.837152,0.347421,0.652579
L2_0037,2,4,40,Qwen/Qwen2.5-3B,100,100,1.100222,0.0,False,1.100222,0.339881,0.660119
L2_0038,2,4,40,Qwen/Qwen2.5-3B,100,100,0.887485,0.08,False,0.807485,0.343078,0.656922
L2_0039,2,4,40,Qwen/Qwen2.5-3B,100,100,1.182666,0.0,False,1.182666,0.345899,0.654101
L2_0040,2,4,40,Qwen/Qwen2.5-3B,100,100,1.137545,0.08,False,1.057545,0.341014,0.658986
L2_0041,2,4,40,Qwen/Qwen2.5-3B,100,100,1.156079,0.0,False,1.156079,0.342813,0.657187
L2_0042,2,4,40,Qwen/Qwen2.5-3B,100,100,1.048778,1.04,False,0.008778,0.342197,0.657803
L2_0043,2,4,40,Qwen/Qwen2.5-3B,100,100,0.263879,0.0,False,0.263879,0.348641,0.651359
L2_0044,2,4,40,Qwen/Qwen2.5-3B,100,100,0.989689,0.0,False,0.989689,0.341573,0.658427
L2_0045,2,4,40,Qwen/Qwen2.5-3B,100,100,1.168999,0.0,False,1.168999,0.344531,0.655469
L2_0046,2,4,40,Qwen/Qwen2.5-3B,100,100,1.058465,0.0,False,1.058465,0.341269,0.658731
L2_0047,2,4,40,Qwen/Qwen2.5-3B,100,100,1.247617,0.08,False,1.167617,0.339328,0.660672
L2_0048,2,4,40,Qwen/Qwen2.5-3B,100,100,1.075564,0.08,False,0.995564,0.341629,0.658371
L2_0049,2,4,40,Qwen/Qwen2.5-3B,100,100,1.408228,0.0,False,1.408228,0.341046,0.658954
L2_0050,2,4,40,Qwen/Qwen2.5-3B,100,100,0.673456,0.08,False,0.593456,0.34009,0.65991
L2_0051,2,4,40,Qwen/Qwen2.5-3B,100,100,1.133677,0.08,False,1.053677,0.341207,0.658793
L2_0052,2,4,40,Qwen/Qwen2.5-3B,100,100,1.003674,0.0,False,1.003674,0.341503,0.658497
L2_0053,2,4,40,Qwen/Qwen2.5-3B,100,100,1.047214,0.08,False,0.967214,0.340633,0.659367
L2_0054,2,4,40,Qwen/Qwen2.5-3B,100,100,0.219785,0.0,False,0.219785,0.349024,0.650976
L2_0055,2,4,40,Qwen/Qwen2.5-3B,100,100,0.274837,0.0,False,0.274837,0.350566,0.649434
L2_0056,2,4,40,Qwen/Qwen2.5-3B,100,100,0.907252,0.0,False,0.907252,0.347486,0.652514
L2_0057,2,4,40,Qwen/Qwen2.5-3B,100,100,0.877299,0.0,False,0.877299,0.345203,0.654797
L2_0058,2,4,40,Qwen/Qwen2.5-3B,100,100,1.098765,0.08,False,1.018765,0.340799,0.659201
L2_0059,2,4,40,Qwen/Qwen2.5-3B,100,100,1.167523,0.0,False,1.167523,0.342781,0.657219
L2_0060,2,4,40,Qwen/Qwen2.5-3B,100,100,1.104455,0.08,False,1.024455,0.341734,0.658266
L2_0061,2,4,40,Qwen/Qwen2.5-3B,100,100,1.090829,0.0,False,1.090829,0.339021,0.660979
L2_0062,2,4,40,Qwen/Qwen2.5-3B,100,100,1.197169,0.0,False,1.197169,0.344168,0.655832
L2_0063,2,4,40,Qwen/Qwen2.5-3B,100,100,1.110543,0.08,False,1.030543,0.33998,0.66002
L2_0064,2,4,40,Qwen/Qwen2.5-3B,100,100,1.080387,0.0,False,1.080387,0.339633,0.660367
L2_0065,2,4,40,Qwen/Qwen2.5-3B,100,100,1.290734,0.08,False,1.210734,0.339959,0.660041
L2_0066,2,4,40,Qwen/Qwen2.5-3B,100,100,1.247668,0.08,False,1.167668,0.340708,0.659292
L2_0067,2,4,40,Qwen/Qwen2.5-3B,100,100,0.968988,0.08,False,0.888988,0.339862,0.660138
L2_0068,2,4,40,Qwen/Qwen2.5-3B,100,100,0.700238,0.08,False,0.620238,0.339334,0.660666
L2_0069,2,4,40,Qwen/Qwen2.5-3B,100,100,1.111404,0.64,False,0.471404,0.341499,0.658501
L2_0070,2,4,40,Qwen/Qwen2.5-3B,100,100,1.225208,0.08,False,1.145208,0.339695,0.660305
L2_0071,2,4,40,Qwen/Qwen2.5-3B,100,100,0.993333,0.0,False,0.993333,0.342813,0.657187
L2_0072,2,4,40,Qwen/Qwen2.5-3B,100,100,0.711462,0.08,False,0.631462,0.340078,0.659922
L2_0073,2,4,40,Qwen/Qwen2.5-3B,100,100,1.326348,0.0,False,1.326348,0.343057,0.656943
L2_0074,2,4,40,Qwen/Qwen2.5-3B,100,100,1.028402,0.0,False,1.028402,0.341133,0.658867
L3_0000,3,5,50,Qwen/Qwen2.5-3B,100,100,1.070445,0.0,False,1.070445,0.347205,0.652795
L3_0001,3,5,50,Qwen/Qwen2.5-3B,100,100,1.010079,0.08,False,0.930079,0.343706,0.656294
L3_0002,3,5,50,Qwen/Qwen2.5-3B,100,100,0.935603,0.0,False,0.935603,0.349983,0.650017
L3_0003,3,5,50,Qwen/Qwen2.5-3B,100,100,0.958234,0.0,False,0.958234,0.343565,0.656435
L3_0004,3,5,50,Qwen/Qwen2.5-3B,100,100,0.62472,0.08,False,0.54472,0.340753,0.659247
L3_0005,3,5,50,Qwen/Qwen2.5-3B,100,100,1.083415,0.0,False,1.083415,0.339246,0.660754
L3_0006,3,5,50,Qwen/Qwen2.5-3B,100,100,0.93825,0.0,False,0.93825,0.341108,0.658892
L3_0007,3,5,50,Qwen/Qwen2.5-3B,100,100,0.90992,0.0,False,0.90992,0.347633,0.652367
L3_0008,3,5,50,Qwen/Qwen2.5-3B,100,100,1.065623,0.0,False,1.065623,0.341302,0.658698
L3_0009,3,5,50,Qwen/Qwen2.5-3B,100,100,0.825045,0.0,False,0.825045,0.348756,0.651244
L3_0010,3,5,50,Qwen/Qwen2.5-3B,100,100,0.986213,0.08,False,0.906213,0.339807,0.660193
L3_0011,3,5,50,Qwen/Qwen2.5-3B,100,100,0.989932,0.08,False,0.909932,0.338598,0.661402
L3_0012,3,5,50,Qwen/Qwen2.5-3B,100,100,1.17872,0.0,False,1.17872,0.344129,0.655871
L3_0013,3,5,50,Qwen/Qwen2.5-3B,100,100,1.263298,0.0,False,1.263298,0.342229,0.657771
L3_0014,3,5,50,Qwen/Qwen2.5-3B,100,100,0.922642,0.0,False,0.922642,0.340358,0.659642
L3_0015,3,5,50,Qwen/Qwen2.5-3B,100,100,1.077983,0.0,False,1.077983,0.342639,0.657361
L3_0016,3,5,50,Qwen/Qwen2.5-3B,100,100,0.87923,0.0,False,0.87923,0.341857,0.658143
L3_0017,3,5,50,Qwen/Qwen2.5-3B,100,100,1.063117,0.08,False,0.983117,0.343076,0.656924
L3_0018,3,5,50,Qwen/Qwen2.5-3B,100,100,1.040307,0.0,False,1.040307,0.340236,0.659764
L3_0019,3,5,50,Qwen/Qwen2.5-3B,100,100,1.038462,0.08,False,0.958462,0.34047,0.65953
L3_0020,3,5,50,Qwen/Qwen2.5-3B,100,100,0.939078,0.0,False,0.939078,0.341438,0.658562
L3_0021,3,5,50,Qwen/Qwen2.5-3B,100,100,1.234024,0.0,False,1.234024,0.340846,0.659154
L3_0022,3,5,50,Qwen/Qwen2.5-3B,100,100,1.083027,0.0,False,1.083027,0.340141,0.659859
L3_0023,3,5,50,Qwen/Qwen2.5-3B,100,100,0.947259,0.08,False,0.867259,0.340095,0.659905
L3_0024,3,5,50,Qwen/Qwen2.5-3B,100,100,1.217353,0.0,False,1.217353,0.34081,0.65919
L3_0025,3,5,50,Qwen/Qwen2.5-3B,100,100,0.807345,0.0,False,0.807345,0.349521,0.650479
L3_0026,3,5,50,Qwen/Qwen2.5-3B,100,100,1.334555,0.0,False,1.334555,0.340239,0.659761
L3_0027,3,5,50,Qwen/Qwen2.5-3B,100,100,1.099952,0.0,False,1.099952,0.343338,0.656662
L3_0028,3,5,50,Qwen/Qwen2.5-3B,100,100,1.099955,0.0,False,1.099955,0.340351,0.659649
L3_0029,3,5,50,Qwen/Qwen2.5-3B,100,100,0.962089,0.0,False,0.962089,0.341427,0.658573
L3_0030,3,5,50,Qwen/Qwen2.5-3B,100,100,0.91264,0.0,False,0.91264,0.339923,0.660077
L3_0031,3,5,50,Qwen/Qwen2.5-3B,100,100,1.205481,0.08,False,1.125481,0.341352,0.658648
L3_0032,3,5,50,Qwen/Qwen2.5-3B,100,100,0.759257,0.0,False,0.759257,0.350234,0.649766
L3_0033,3,5,50,Qwen/Qwen2.5-3B,100,100,1.222506,0.08,False,1.142506,0.340646,0.659354
L3_0034,3,5,50,Qwen/Qwen2.5-3B,100,100,1.041618,0.0,False,1.041618,0.34348,0.65652
L3_0035,3,5,50,Qwen/Qwen2.5-3B,100,100,0.794798,0.0,False,0.794798,0.347656,0.652344
L3_0036,3,5,50,Qwen/Qwen2.5-3B,100,100,0.953727,0.0,False,0.953727,0.339616,0.660384
L3_0037,3,5,50,Qwen/Qwen2.5-3B,100,100,0.716094,0.0,False,0.716094,0.339483,0.660517
L3_0038,3,5,50,Qwen/Qwen2.5-3B,100,100,0.925801,0.0,False,0.925801,0.343949,0.656051
L3_0039,3,5,50,Qwen/Qwen2.5-3B,100,100,0.937375,0.0,False,0.937375,0.339964,0.660036
L3_0040,3,5,50,Qwen/Qwen2.5-3B,100,100,0.94904,0.0,False,0.94904,0.341806,0.658194
L3_0041,3,5,50,Qwen/Qwen2.5-3B,100,100,0.959991,0.0,False,0.959991,0.339931,0.660069
L3_0042,3,5,50,Qwen/Qwen2.5-3B,100,100,1.275535,0.0,False,1.275535,0.340035,0.659965
L3_0043,3,5,50,Qwen/Qwen2.5-3B,100,100,1.039862,0.0,False,1.039862,0.346978,0.653022
L3_0044,3,5,50,Qwen/Qwen2.5-3B,100,100,0.667804,0.08,False,0.587804,0.340337,0.659663
L3_0045,3,5,50,Qwen/Qwen2.5-3B,100,100,0.953214,0.08,False,0.873214,0.339975,0.660025
L3_0046,3,5,50,Qwen/Qwen2.5-3B,100,100,1.16261,0.08,False,1.08261,0.34124,0.65876
L3_0047,3,5,50,Qwen/Qwen2.5-3B,100,100,0.801143,0.0,False,0.801143,0.341648,0.658352
L3_0048,3,5,50,Qwen/Qwen2.5-3B,100,100,1.053823,0.56,False,0.493823,0.341429,0.658571
L3_0049,3,5,50,Qwen/Qwen2.5-3B,100,100,0.967782,0.0,False,0.967782,0.342772,0.657228
L3_0050,3,5,50,Qwen/Qwen2.5-3B,100,100,1.08315,0.0,False,1.08315,0.343656,0.656344
L3_0051,3,5,50,Qwen/Qwen2.5-3B,100,100,0.729833,0.0,False,0.729833,0.350782,0.649218
L3_0052,3,5,50,Qwen/Qwen2.5-3B,100,100,1.172989,0.0,False,1.172989,0.338934,0.661066
L3_0053,3,5,50,Qwen/Qwen2.5-3B,100,100,1.013948,0.0,False,1.013948,0.341262,0.658738
L3_0054,3,5,50,Qwen/Qwen2.5-3B,100,100,1.016908,0.0,False,1.016908,0.34418,0.65582
L3_0055,3,5,50,Qwen/Qwen2.5-3B,100,100,0.959981,0.08,False,0.879981,0.340453,0.659547
L3_0056,3,5,50,Qwen/Qwen2.5-3B,100,100,1.198944,0.0,False,1.198944,0.344719,0.655281
L3_0057,3,5,50,Qwen/Qwen2.5-3B,100,100,0.970971,0.08,False,0.890971,0.339699,0.660301
L3_0058,3,5,50,Qwen/Qwen2.5-3B,100,100,0.922652,0.08,False,0.842652,0.341414,0.658586
L3_0059,3,5,50,Qwen/Qwen2.5-3B,100,100,0.828602,0.0,False,0.828602,0.347072,0.652928
L3_0060,3,5,50,Qwen/Qwen2.5-3B,100,100,0.99219,0.0,False,0.99219,0.342132,0.657868
L3_0061,3,5,50,Qwen/Qwen2.5-3B,100,100,0.76391,0.0,False,0.76391,0.347958,0.652042
L3_0062,3,5,50,Qwen/Qwen2.5-3B,100,100,1.150705,0.0,False,1.150705,0.339748,0.660252
L3_0063,3,5,50,Qwen/Qwen2.5-3B,100,100,1.17079,0.0,False,1.17079,0.341777,0.658223
L3_0064,3,5,50,Qwen/Qwen2.5-3B,100,100,1.381099,0.0,False,1.381099,0.342167,0.657833
L3_0065,3,5,50,Qwen/Qwen2.5-3B,100,100,1.100281,0.08,False,1.020281,0.342377,0.657623
L3_0066,3,5,50,Qwen/Qwen2.5-3B,100,100,1.195517,0.08,False,1.115517,0.341254,0.658746
L3_0067,3,5,50,Qwen/Qwen2.5-3B,100,100,0.994364,0.08,False,0.914364,0.340672,0.659328
L3_0068,3,5,50,Qwen/Qwen2.5-3B,100,100,1.019759,0.0,False,1.019759,0.345589,0.654411
L3_0069,3,5,50,Qwen/Qwen2.5-3B,100,100,0.758217,0.0,False,0.758217,0.351383,0.648617
L3_0070,3,5,50,Qwen/Qwen2.5-3B,100,100,0.963056,0.08,False,0.883056,0.338863,0.661137
L3_0071,3,5,50,Qwen/Qwen2.5-3B,100,100,1.068546,0.0,False,1.068546,0.341821,0.658179
L3_0072,3,5,50,Qwen/Qwen2.5-3B,100,100,0.248448,0.0,False,0.248448,0.351824,0.648176
L3_0073,3,5,50,Qwen/Qwen2.5-3B,100,100,1.312571,0.08,False,1.232571,0.34084,0.65916
L3_0074,3,5,50,Qwen/Qwen2.5-3B,100,100,1.138845,0.0,False,1.138845,0.347181,0.652819
L4_0000,4,6,60,Qwen/Qwen2.5-3B,100,100,0.93719,0.08,False,0.85719,0.340294,0.659706
L4_0001,4,6,60,Qwen/Qwen2.5-3B,100,100,0.862555,0.0,False,0.862555,0.351069,0.648931
L4_0002,4,6,60,Qwen/Qwen2.5-3B,100,100,0.830208,0.0,False,0.830208,0.3495,0.6505
L4_0003,4,6,60,Qwen/Qwen2.5-3B,100,100,0.775273,0.08,False,0.695273,0.350447,0.649553
L4_0004,4,6,60,Qwen/Qwen2.5-3B,100,100,0.981557,0.0,False,0.981557,0.340777,0.659223
L4_0005,4,6,60,Qwen/Qwen2.5-3B,100,100,0.984079,0.08,False,0.904079,0.341062,0.658938
L4_0006,4,6,60,Qwen/Qwen2.5-3B,100,100,0.971967,0.0,False,0.971967,0.344165,0.655835
L4_0007,4,6,60,Qwen/Qwen2.5-3B,100,100,1.018961,0.08,False,0.938961,0.339931,0.660069
L4_0008,4,6,60,Qwen/Qwen2.5-3B,100,100,0.858383,0.0,False,0.858383,0.338558,0.661442
L4_0009,4,6,60,Qwen/Qwen2.5-3B,100,100,1.039271,0.0,False,1.039271,0.340439,0.659561
L4_0010,4,6,60,Qwen/Qwen2.5-3B,100,100,0.226857,0.0,False,0.226857,0.351817,0.648183
L4_0011,4,6,60,Qwen/Qwen2.5-3B,100,100,1.013116,0.08,False,0.933116,0.343285,0.656715
L4_0012,4,6,60,Qwen/Qwen2.5-3B,100,100,1.078928,0.0,False,1.078928,0.345582,0.654418
